ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Theme;Description;Relevance;Type
9780425171168;The Word for World is Forest;Ursula K. Le Guin;1972;Berkley Books;Écoféminisme et Colonialisme;Un classique explorant l'exploitation coloniale et la destruction écologique d'une planète forestière, en opposition avec une culture indigène pacifiste.;Haute;Roman
9780061054884;The Dispossessed;Ursula K. Le Guin;1974;Harper Voyager;Anarchisme Utopique;Une exploration politique et sociale comparant une société capitaliste patriarcale à une société anarchiste et égalitaire mais austère sur une lune aride.;Haute;Roman
9780441478125;The Left Hand of Darkness;Ursula K. Le Guin;1969;Ace Books;Genre et Anthropologie;Un roman fondateur de la science-fiction féministe imaginant une planète où les habitants sont androgynes et ne prennent de genre défini que pendant une courte période de fertilité.;Haute;Roman
9780520289354;Always Coming Home;Ursula K. Le Guin;1985;University of California Press;Écoféminisme et Utopie;Une œuvre hybride (roman/ethnographie) décrivant la culture pacifique et écologique des Kesh, vivant en Californie du Nord dans un futur lointain après une catastrophe.;Haute;Roman
9780446679595;Parable of the Sower;Octavia E. Butler;1993;Grand Central Publishing;Dystopie Écologique et Survie;Le récit prophétique d'une jeune femme noire naviguant dans un monde effondré par le changement climatique et les inégalités sociales, fondant une nouvelle religion écologique (Earthseed).;Haute;Roman
9781888363814;Parable of the Talents;Octavia E. Butler;1998;Seven Stories Press;Dystopie Sociale;La suite de Parable of the Sower, explorant le fascisme, l'esclavage moderne et la résistance à travers la communauté Earthseed.;Haute;Roman
9780446603106;Dawn (Xenogenesis Book 1);Octavia E. Butler;1987;Warner Books;Postcolonialisme et Biologie;Une exploration des thèmes du colonialisme, de l'hybridation génétique et du genre après la destruction de la Terre par l'humanité.;Haute;Roman
9780385490818;The Handmaid's Tale;Margaret Atwood;1985;Anchor Books;Dystopie Patriarcale;Un récit dystopique glaçant sur une théocratie totalitaire où les femmes fertiles sont réduites en esclavage reproductif, touchant aux thèmes de l'écologie et du contrôle des corps.;Moyenne;Roman
9780307398188;Oryx and Crake;Margaret Atwood;2003;Anchor Books;Dystopie Écologique et Bio-ingénierie;Une critique féroce du capitalisme scientifique et de la bio-ingénierie, menant à une apocalypse environnementale.;Haute;Roman
9780449210826;Woman on the Edge of Time;Marge Piercy;1976;Fawcett;Utopie Féministe;Un classique où une femme internée en hôpital psychiatrique voyage mentalement vers une utopie future, égalitaire et écologiquement durable (Mattapoisett).;Haute;Roman
9780312852054;A Door into Ocean;Joan Slonczewski;1986;Orb Books;Écoféminisme et Pacifisme;Une planète recouverte d'eau habitée uniquement par des femmes (les Sharers) utilisant la génétique avancée et le pacifisme radical pour résister à une invasion patriarcale.;Haute;Roman
9780553280649;The Gate to Women's Country;Sheri S. Tepper;1988;Bantam Spectra;Féminisme et Écologie Post-Apocalyptique;Dans un monde post-apocalyptique, les femmes dirigent les villes fortifiées de manière pacifique, tandis que les hommes vivent à l'extérieur dans des camps militaires.;Moyenne;Roman
9780312862411;Pacific Edge;Kim Stanley Robinson;1990;Orb Books;Utopie Écologique;Le troisième volume de la trilogie Three Californias, dépeignant une Californie utopique ayant réussi sa transition écologique et anticapitaliste.;Haute;Roman
9780316315089;The Fifth Season;N.K. Jemisin;2015;Orbit;Postcolonialisme et Climat;Un monde géologiquement instable où les personnes capables de contrôler les tremblements de terre sont réduites en esclavage, mêlant géologie, écologie et oppression systémique.;Haute;Roman
9781250236210;A Psalm for the Wild-Built;Becky Chambers;2021;Tordotcom;Solarpunk et Écologie;Une novella solarpunk optimiste sur un moine du thé et un robot explorant la nature sauvage, interrogeant le besoin de la technologie et la coexistence avec l'environnement.;Moyenne;Roman
9782845941195;Le Féminisme ou la Mort;Françoise d'Eaubonne;1974;Pierre-Marcel Favre;Essai Écoféministe;L'essai fondateur qui a introduit le terme 'écoféminisme', reliant l'oppression des femmes à la destruction de la nature par le capitalisme patriarcal.;Haute;Essai Théorique
9780415918073;Ecofeminist Philosophy;Karen J. Warren;2000;Rowman & Littlefield;Essai Écoféministe;Un cadre philosophique approfondi analysant les logiques de domination qui sous-tendent à la fois le sexisme et le naturisme (la domination de la nature).;Haute;Essai Théorique
9781786992921;Staying Alive: Women, Ecology and Development;Vandana Shiva;1988;Zed Books;Écoféminisme Postcolonial;Une critique essentielle du développement capitaliste et de la science réductionniste en tant que projets patriarcaux et coloniaux, vue depuis le Sud global.;Haute;Essai Théorique
9780415966453;Staying with the Trouble;Donna J. Haraway;2016;Duke University Press;Écoféminisme et Posthumanisme;Un essai appelant à 'rester avec le trouble' dans le Chthulucène, en créant des parentèles inattendues (multiespèces) face au désastre écologique.;Haute;Essai Théorique
9781592131336;Ecofeminism: Women, Animals, Nature;Greta Gaard (Ed.);1993;Temple University Press;Essai Écoféministe;Une anthologie fondatrice explorant les intersections entre l'exploitation des femmes, des animaux non-humains et de l'environnement physique.;Haute;Recueil Critique
9780062505928;The Death of Nature;Carolyn Merchant;1980;HarperOne;Essai Écoféministe;Une analyse historique de la révolution scientifique et de la façon dont le passage de l'image de la Terre comme organisme vivant à celle d'une machine a justifié son exploitation.;Haute;Essai Théorique
9780415073167;Feminism and the Mastery of Nature;Val Plumwood;1993;Routledge;Essai Écoféministe;Une critique puissante des dualismes occidentaux (raison/nature, homme/femme, esprit/corps) qui justifient la domination écologique et sociale.;Haute;Essai Théorique
9781999683313;The Carrier Bag Theory of Fiction;Ursula K. Le Guin;1986;Ignota Books;Essai Théorique;Un essai repensant l'évolution humaine et la narration à travers le prisme du sac de cueillette (réceptacle) plutôt que de l'arme du chasseur (héros), essentiel pour une littérature non-héroïque et écologique.;Haute;Essai Théorique
